site,year
726510,1987
722260,1972
725210,1979
724500,1980
726450,1992
724060,1993
725570,1987
725260,1994
727640,1992
725300,1986
724380,1987
724460,1993
725320,1995
724340,1988
723170,1980
724340,1995
725430,1987
725430,1981
726580,1993
725390,1962
723080,1975
726350,1997
727640,1983
722510,1963
722230,1993
725190,1976
725570,1993
726350,1995
725440,1973
725300,1981
724060,1964
725330,1962
724380,2000
725210,1975
722530,1988
724290,1975
725360,1982
725350,1994
726350,1998
723340,1981
726510,1973
725440,1962
723270,1971
724500,1963
723060,1986
724510,1990
726360,1961
722500,1989
724230,1985
725190,1990
726510,1995
724560,1962
726400,1974
726370,1972
723040,1974
724340,1984
725300,1980
725280,1988
726580,1988
725170,1991
725350,1961
722340,1985
726510,1999
725260,1982
726350,1979
724650,2000
726540,2003
725320,1992
725460,1994
724460,1979
723170,1971
723270,1975
722530,1986
725480,1980
726360,1986
724230,1997
726510,1994
722140,1973
725300,2002
725190,1983
722340,1993
725260,1995
724320,1991
723170,1993
725350,1995
725170,1986
724500,1997
724650,1964
724380,1984
725570,1995
722340,1979
726370,1970
726510,2001
726400,1973
725390,1975
726450,2000
722230,2003
724320,1988
725480,1964
724500,1974
722350,1981
723080,1974
725330,1980
723170,1981
725170,1979
725190,1975
724290,1987
725390,1974
725360,1990
722560,1961
725330,1977
725390,2002
725170,1984
724320,1980
723060,1981
724380,1991
725370,1983
722260,1962
726370,1980
725330,1983
725240,1990
725330,1989
725290,1979
726360,1963
723170,1988
725320,1981
726450,1980
724340,1989
724290,1980
723230,1964
724560,1982
724460,1991
722230,1999
724340,1980
725210,1993
725280,1982
727640,1972
723340,1994
722530,1990
727640,1980
726400,1994
724500,1991
725280,1990
722140,1981
726410,1987
724510,1991
726370,1993
725290,1994
723230,1980
724380,1992
724400,1990
723080,1988
724400,1984
724510,1992
725440,1974
726510,1988
724500,2001
722230,1997
725480,1963
726510,1998
726350,2003
725440,1993
723060,1962
725460,1987
726450,1962
724500,1992
725190,1989
726360,1962
725360,1981
722350,1986
726510,1990
726400,1980
722340,1986
724460,1989
725190,1980
723060,1987
726370,1962
722510,1984
725300,1978
725280,1974
723340,1974
722500,1988
722530,1994
727530,1984
723230,1973
726350,1991
725360,1961
723270,1980
723340,1988
723340,1973
724060,1965
722560,1975
724460,1984
724380,1998
724230,1961
724340,1961
725430,1979
723230,1979
723170,1984
724320,1974
725390,1992
726360,2005
726360,1992
724320,1961
725170,1964
725390,2004
723040,1985
725480,1973
725330,1978
726540,1988
722540,1990
723340,1961
722080,2003
722080,1994
725460,1981
725350,1984
725390,1991
722260,1989
725370,1975
725330,1979
723270,1981
725320,1980
723340,1983
725330,1987
724560,1992
725170,1992
722260,1981
726370,1974
722080,1978
724510,1982
724320,1970
725300,1991
727640,1977
725300,1977
725290,1962
725360,1994
727530,1981
725170,1981
726450,1975
722560,1983
726510,1961
725280,1966
726350,1992
726450,1988
722560,1989
724320,1979
722530,1962
723340,1972
725320,1963
726360,2002
723230,1983
724510,1996
723170,1975
724560,2000
723270,1986
725190,1964
724230,1972
723060,1991
722510,1998
725210,1981
722230,1986
722260,1985
725240,1991
722340,1983
723040,1984
725190,1973
725300,1994
726510,1975
725570,1979
725440,1994
726410,1963
724290,1988
727640,1990
724320,1981
724290,1994
726360,1995
726410,1975
724400,1985
726360,1997
725460,1963
724560,1961
722510,1982
725300,1989
724380,1981
725440,1992
725210,1974
725480,1987
722350,1984
725390,1995
724290,1989
726350,2004
724650,1988
724060,1977
725290,1988
724500,2005
726580,1964
722500,1990
722500,1974
724380,1993
726400,1995
725190,1979
722080,1975
722260,1980
723170,1972
724380,1972
727530,1979
726350,2000
724380,1961
725430,1986
722540,1981
724380,1982
725430,1963
723080,1995
724290,1992
723170,1961
726450,1981
724400,1993
725330,1991
724510,1971
726510,2004
724460,1985
726450,1994
726450,2001
725350,1992
726510,1986
724500,1998
725290,1983
723230,1974
725290,1964
722080,1979
722230,1981
725430,1983
722080,1999
724400,1987
725440,1997
723230,1975
726370,1981
725210,1982
723080,1987
726400,1991
722260,1993
725360,1986
723080,1964
726370,1987
725350,1985
725460,1961
726400,1983
725190,1961
723230,1982
725370,1961
