03103,723755
03812,723150
03813,722170
03820,722180
03822,722070
03856,723230
03860,724250
03870,723120
03927,722590
03928,724500
03937,722400
03940,722350
03945,724450
03947,724460
04725,725150
04751,725266
11641,785260
12834,722056
12836,722010
12839,722020
12842,722050
12844,722030
12912,722550
12916,722310
12917,722410
12919,722500
12921,722530
12924,722510
12960,722430
13722,723060
13723,723170
13729,724170
13733,724100
13737,723080
13739,724080
13740,724010
13741,724110
13748,723013
13781,724089
13865,722340
13866,724140
13873,723110
13874,722190
13876,722280
13877,723183
13880,722080
13881,723140
13882,723240
13883,723100
13889,722060
13891,723260
13893,723340
13894,722230
13895,722260
13897,723270
13957,722480
13958,722540
13959,722560
13962,722660
13963,723403
13964,723440
13966,723510
13967,723530
13968,723560
13970,722317
13985,724510
13994,724340
13995,724400
13996,724560
14607,727120
14733,725280
14734,725020
14735,725180
14737,725170
14739,725090
14740,725080
14742,726170
14745,726050
14751,725118
14764,726060
14765,725070
14768,725290
14771,725190
14777,725130
14778,725140
14820,725240
14821,724280
14826,726370
14827,725330
14836,725390
14837,726410
14839,726400
14840,726360
14842,725320
14847,727340
14848,725350
14850,726387
14852,725250
14860,725260
14891,725246
14895,725210
14898,726450
14913,727450
14914,727530
14918,727470
14920,726430
14922,726580
14923,725440
14925,726440
14926,726550
14933,725460
14935,725520
14936,726540
14940,725485
14941,725560
14943,725570
14944,726510
14991,726435
21504,912850
22516,911900
22521,911820
22536,911650
23023,722650
23034,722630
23042,722670
23044,722700
23047,723630
23048,723676
23050,723650
23061,724620
23063,724675
23065,724650
23066,724760
23129,722970
23153,724855
23154,724860
23155,723840
23160,722740
23161,723815
23169,723860
23174,722950
23183,722780
23184,723723
23185,724880
23188,722900
23232,724830
23234,724940
23273,723940
24011,727640
24013,727676
24018,725640
24021,725760
24023,725620
24025,726686
24027,725744
24028,725660
24029,726660
24033,726770
24036,726776
24037,742300
24089,725690
24090,726620
24121,725825
24127,725720
24128,725830
24131,726810
24137,727796
24143,727750
24144,727720
24146,727790
24153,727730
24155,726880
24156,725780
24157,727850
24221,726930
24225,725970
24227,727920
24229,726980
24230,726835
24232,726940
24233,727930
24243,727810
24283,725945
24284,726917
25308,703980
25339,703610
25501,703500
25503,703260
25624,703160
25713,703080
26411,702610
26415,702670
26425,702710
26451,702730
26510,702310
26528,702510
26533,701740
26615,702190
26616,701330
26617,702000
27502,700260
41415,912120
93037,724660
93058,724640
93129,724755
93193,723890
93721,724060
93729,723040
93730,724070
93738,724030
93805,722140
93814,724210
93815,724290
93817,724320
93819,724380
93820,724220
93821,724230
93822,724390
93842,722255
93987,722446
94008,727680
94018,724699
94185,726830
94224,727910
94240,727970
94702,725040
94725,726223
94728,744860
94746,725095
94814,726380
94822,725430
94823,725200
94830,725360
94846,725300
94847,725370
94849,726390
94860,726350
94910,725480
94918,725500
