cvar,pheno_days,jday,LA,An,group
0,53.916811424081295,190.03419415425643,3010.6490348457546,19.253682421920892,4
3,45.806636553448946,172.17473208679186,2197.356938479596,21.42203349759314,4
4,89.77639985214203,168.36808284375334,2073.7815618439054,18.3942022716005,5
5,30.431313258799282,182.64410727216116,6758.514107098766,16.65036680019291,3
7,63.707092870665015,177.29752918060845,4521.952976725873,14.203264209162528,2
8,67.219809785211,172.48539010012337,1383.1760075457644,22.350242329431403,0
9,75.10446202945974,181.3046099298293,5601.155312234361,14.32766810162798,2
12,38.30089841700479,184.86496165612314,4846.031395307819,17.144800847538058,3
14,65.82527880500753,199.9690784896791,6304.595317952472,10.47842826434705,1
15,42.31176546806991,161.55052593763972,1363.7148607503595,22.468500893200538,0
16,71.81562879612524,197.42578161593832,4644.268059067393,12.612235907249048,1
18,48.375673925756786,176.81897128376957,3435.1162065014682,17.758284543685512,4
21,70.50922186630231,192.05573988723842,7760.276910239083,10.23379646093208,1
24,60.54001094223675,202.3531177532378,7296.053806516217,12.473286243510753,1
25,41.56876253268177,185.19911178039516,3629.30743684769,19.752460504893563,4
28,68.33674408195454,175.35619674827632,2060.962202841791,19.256146064889933,4
29,72.82324530650061,184.23029663712163,3855.425938104918,14.480888927219416,2
30,68.96361221655883,192.28190227163336,4682.6966031771435,14.960486963525295,2
35,37.938687109948496,170.88360007319613,3233.8226711844186,18.928729524912754,4
38,67.41699267188531,203.91170039402508,6027.34615325189,13.489849943321712,1
40,72.93986998378,165.72384365576465,1435.0347556998045,20.41095579090369,0
42,85.4601488496298,175.10157985246488,4750.433822529493,12.70559250978231,2
43,61.09129844513483,188.3410924770117,2877.536751383885,16.979485724564423,4
44,70.77293803727657,166.75002722732376,1399.0412098835461,21.45465249101135,0
46,96.56454922961566,171.7483390035598,3799.2071548821377,13.717733899374801,5
48,60.813766055903066,164.47297125284885,1674.4673289863956,20.248159947330414,0
50,48.85672487858294,172.28667702317452,2513.3250109144765,19.199070376108576,4
52,36.97834476934115,192.36895732324209,4637.19365891053,17.895880277339337,3
54,57.6424805617163,205.82132911791956,5329.3712113493775,13.632936267141249,1
55,53.725742164498214,184.5087031520619,5255.904592169031,15.710947864007563,3
57,72.26909978766356,158.99434318874378,1074.797274953116,22.65180202130408,0
58,57.35503394672087,162.88235799108574,1339.1993779907934,24.24355411939182,0
59,37.25782618166547,178.7362377071891,2844.6817022009946,20.24734316757002,4
62,65.98759857350427,166.03404587024124,1612.4761285540812,22.021106648336747,0
63,42.577989402650765,170.15301231439392,2348.263040954451,21.49848904503312,4
65,92.8842701967527,169.66794042088088,1802.943881272103,19.738258275215138,5
66,18.006527673479532,183.31974586002318,7490.289659974004,19.41225366821707,3
73,68.88344201587189,198.20590765485295,6429.593547760117,12.854111564551404,1
76,55.5969062127866,172.53595717647278,1632.6261384479449,22.53078163062403,0
77,45.25993446025476,175.25222108117083,4061.0822033114696,16.388098776785025,4
78,75.54078116429905,190.0344531466325,3954.386751283947,16.346233226957978,2
79,47.50810414234415,192.45403181391146,5747.753472041029,15.351811020369194,3
81,95.91377692476107,177.64188535687578,4852.798538744739,11.96779534154936,2
84,60.902085428586794,170.07390822483603,1761.8264257008932,21.800645137015255,0
85,28.754551489789257,188.65859424569274,5064.177459817408,19.136226925220758,3
86,56.25241897374397,180.48778393113815,3354.1422866896955,16.58060844037856,4
87,25.906550008903732,181.32963206326232,4720.275627367016,18.036071144182756,3
88,86.87999785344688,189.84962002824764,4948.32799629096,12.567370886782374,2
89,79.78956260035214,187.49124950786756,7703.912847300644,11.4716473820968,1
90,93.04926276466789,171.34865539222022,3494.033328703533,16.26595251772166,5
