site,year,doy,pdate
724560,1969,103,1969-04-13
724560,1971,101,1971-04-11
724560,1972,82,1972-03-22
724560,1973,107,1973-04-17
724560,1974,88,1974-03-29
724560,1975,108,1975-04-18
724560,1979,106,1979-04-16
724560,1980,109,1980-04-18
724560,1981,86,1981-03-27
724560,1982,94,1982-04-04
724560,1983,102,1983-04-12
724560,1984,115,1984-04-24
724560,1987,86,1987-03-27
724560,1989,89,1989-03-30
724560,1990,85,1990-03-26
724560,1992,74,1992-03-14
724560,1995,79,1995-03-20
724560,1997,89,1997-03-30
724560,1999,90,1999-03-31
724560,2000,75,2000-03-15
724580,1991,83,1991-03-24
724580,1995,81,1995-03-22
724580,1997,91,1997-04-01
724640,1961,103,1961-04-13
724640,1962,97,1962-04-07
724640,1963,88,1963-03-29
724640,1964,110,1964-04-19
724640,1965,104,1965-04-14
724640,1968,102,1968-04-11
724640,1971,90,1971-03-31
724640,1974,84,1974-03-25
724640,1975,96,1975-04-06
724640,1976,83,1976-03-23
724640,1977,84,1977-03-25
724640,1984,103,1984-04-12
724640,1985,93,1985-04-03
724640,1994,83,1994-03-24
724640,1995,76,1995-03-17
724650,1964,115,1964-04-24
724650,1965,108,1965-04-18
724650,1971,101,1971-04-11
724650,1972,78,1972-03-18
724650,1974,97,1974-04-07
724650,1975,112,1975-04-22
724650,1981,100,1981-04-10
724650,1982,101,1982-04-11
724650,1983,114,1983-04-24
724650,1987,107,1987-04-17
724650,1988,99,1988-04-08
724650,1990,109,1990-04-19
724650,1991,87,1991-03-28
724650,1992,95,1992-04-04
724650,1994,94,1994-04-04
724650,1995,81,1995-03-22
724650,1999,95,1999-04-05
724650,2000,96,2000-04-05
724660,1975,115,1975-04-25
724660,1977,113,1977-04-23
724660,1978,101,1978-04-11
724660,1979,111,1979-04-21
724660,1980,119,1980-04-28
724660,1981,102,1981-04-12
724660,1982,104,1982-04-14
724660,1983,128,1983-05-08
724660,1984,131,1984-05-10
724660,1985,108,1985-04-18
724660,1986,88,1986-03-29
724660,1987,113,1987-04-23
724660,1989,96,1989-04-06
724660,1991,101,1991-04-11
724660,1992,103,1992-04-12
724660,1994,107,1994-04-17
724660,1995,96,1995-04-06
725040,1974,119,1974-04-29
725040,1975,133,1975-05-13
725040,1979,120,1979-04-30
725115,1992,113,1992-04-22
725115,1994,109,1994-04-19
725115,1995,109,1995-04-19
725115,2002,104,2002-04-14
725118,1961,116,1961-04-26
725118,1962,115,1962-04-25
725118,1963,102,1963-04-12
725118,1965,120,1965-04-30
725118,1966,114,1966-04-24
725118,1969,108,1969-04-18
725118,1972,112,1972-04-21
725118,1975,124,1975-05-04
725118,1990,81,1990-03-22
725130,1966,133,1966-05-13
725130,1967,113,1967-04-23
725130,1970,121,1970-05-01
725130,1978,132,1978-05-12
725130,1979,117,1979-04-27
725130,1980,118,1980-04-27
725130,1981,99,1981-04-09
725130,1983,122,1983-05-02
725130,1985,109,1985-04-19
725130,1986,110,1986-04-20
725130,1989,121,1989-05-01
725130,1992,123,1992-05-02
725130,1993,117,1993-04-27
725130,1994,115,1994-04-25
725130,1995,117,1995-04-27
725150,1962,121,1962-05-01
725150,1969,123,1969-05-03
725150,1970,124,1970-05-04
725150,1972,136,1972-05-15
725150,1975,135,1975-05-15
725150,1979,128,1979-05-08
725150,1980,127,1980-05-06
725150,1981,113,1981-04-23
725150,1982,126,1982-05-06
725150,1983,131,1983-05-11
725150,1985,112,1985-04-22
725150,1988,131,1988-05-10
725150,1989,138,1989-05-18
725150,1991,118,1991-04-28
725150,1992,133,1992-05-12
725150,1993,125,1993-05-05
725150,1995,134,1995-05-14
725150,1997,138,1997-05-18
725150,2001,123,2001-05-03
725170,1962,116,1962-04-26
725170,1963,110,1963-04-20
725170,1964,118,1964-04-27
725170,1966,131,1966-05-11
725170,1967,120,1967-04-30
725170,1968,107,1968-04-16
725170,1969,111,1969-04-21
725170,1970,122,1970-05-02
725170,1971,126,1971-05-06
725170,1972,122,1972-05-01
725170,1973,111,1973-04-21
725170,1974,110,1974-04-20
725170,1979,113,1979-04-23
725170,1980,113,1980-04-22
725170,1981,99,1981-04-09
725170,1982,117,1982-04-27
725170,1983,119,1983-04-29
725170,1984,122,1984-05-01
725170,1985,105,1985-04-15
725170,1986,105,1986-04-15
725170,1989,111,1989-04-21
725170,1990,93,1990-04-03
725170,1991,99,1991-04-09
725170,1992,121,1992-04-30
725170,1994,110,1994-04-20
725180,1961,131,1961-05-11
725180,1963,125,1963-05-05
725180,1964,124,1964-05-03
725180,1965,130,1965-05-10
725180,1966,139,1966-05-19
725180,1967,139,1967-05-19
725180,1968,108,1968-04-17
725180,1971,137,1971-05-17
725180,1972,134,1972-05-13
725180,1975,133,1975-05-13
725180,1976,109,1976-04-18
725180,1980,124,1980-05-03
725180,1981,102,1981-04-12
725180,1983,124,1983-05-04
725180,1985,113,1985-04-23
725180,1993,120,1993-04-30
725180,1994,121,1994-05-01
725180,1995,124,1995-05-04
725180,1997,128,1997-05-08
725190,1961,132,1961-05-12
725190,1962,119,1962-04-29
725190,1964,123,1964-05-02
725190,1966,139,1966-05-19
725190,1967,124,1967-05-04
725190,1970,121,1970-05-01
725190,1972,137,1972-05-16
725190,1973,112,1973-04-22
725190,1974,119,1974-04-29
725190,1975,132,1975-05-12
725190,1976,108,1976-04-17
725190,1977,109,1977-04-19
725190,1979,121,1979-05-01
725190,1980,124,1980-05-03
725190,1981,98,1981-04-08
725190,1983,128,1983-05-08
725190,1985,116,1985-04-26
725190,1986,110,1986-04-20
725190,1987,109,1987-04-19
725190,1988,127,1988-05-06
725190,1989,132,1989-05-12
725190,1990,115,1990-04-25
725190,1991,113,1991-04-23
725190,1993,122,1993-05-02
725190,1994,120,1994-04-30
725200,1962,117,1962-04-27
725200,1963,107,1963-04-17
725200,1965,119,1965-04-29
725200,1968,104,1968-04-13
725200,1969,107,1969-04-17
725200,1972,110,1972-04-19
725200,1974,104,1974-04-14
725200,1975,122,1975-05-02
725200,1979,105,1979-04-15
725200,1980,121,1980-04-30
725200,1981,101,1981-04-11
725200,1982,115,1982-04-25
725200,1984,119,1984-04-28
725200,1985,105,1985-04-15
725200,1986,92,1986-04-02
725200,1987,109,1987-04-19
725200,1988,96,1988-04-05
725200,1989,106,1989-04-16
725200,1990,76,1990-03-17
725200,1991,97,1991-04-07
725200,1992,107,1992-04-16
725200,1994,108,1994-04-18
725210,1961,125,1961-05-05
725210,1962,118,1962-04-28
725210,1968,104,1968-04-13
725210,1969,111,1969-04-21
725210,1971,125,1971-05-05
725210,1972,123,1972-05-02
725210,1974,108,1974-04-18
725210,1975,123,1975-05-03
725210,1979,112,1979-04-22
725210,1980,124,1980-05-03
725210,1981,101,1981-04-11
725210,1982,117,1982-04-27
725210,1983,116,1983-04-26
725210,1984,121,1984-04-30
725210,1989,116,1989-04-26
725210,1990,107,1990-04-17
725210,1991,98,1991-04-08
725210,1992,111,1992-04-20
725210,1993,120,1993-04-30
725210,1995,116,1995-04-26
725240,1964,118,1964-04-27
725240,1970,119,1970-04-29
725240,1972,122,1972-05-01
725240,1973,106,1973-04-16
725240,1979,113,1979-04-23
725240,1980,126,1980-05-05
725240,1981,101,1981-04-11
725240,1982,116,1982-04-26
725240,1983,117,1983-04-27
725240,1985,108,1985-04-18
725240,1986,97,1986-04-07
725240,1987,111,1987-04-21
725240,1988,109,1988-04-18
725240,1989,117,1989-04-27
725240,1990,106,1990-04-16
725240,1991,98,1991-04-08
725240,1992,113,1992-04-22
725240,1993,121,1993-05-01
725240,1995,117,1995-04-27
725246,1968,104,1968-04-13
725246,1969,108,1969-04-18
725246,1971,125,1971-05-05
725246,1972,111,1972-04-20
725246,1973,91,1973-04-01
725246,1974,110,1974-04-20
725246,1975,125,1975-05-05
725246,1976,96,1976-04-05
725246,1977,103,1977-04-13
725246,1978,128,1978-05-08
725246,1981,101,1981-04-11
725246,1984,121,1984-04-30
725246,1987,111,1987-04-21
725246,1988,114,1988-04-23
725246,1989,117,1989-04-27
725246,1990,107,1990-04-17
725246,1991,98,1991-04-08
725246,1992,111,1992-04-20
725246,1993,122,1993-05-02
725246,1995,111,1995-04-21
725250,1961,127,1961-05-07
725250,1962,119,1962-04-29
725250,1963,109,1963-04-19
725250,1968,109,1968-04-18
725250,1969,117,1969-04-27
725250,1971,131,1971-05-11
725250,1972,123,1972-05-02
725250,1975,128,1975-05-08
725250,1977,103,1977-04-13
725250,1978,131,1978-05-11
725250,1979,115,1979-04-25
725250,1980,126,1980-05-05
725250,1982,120,1982-04-30
725250,1984,120,1984-04-29
725250,1989,117,1989-04-27
725250,1990,99,1990-04-09
725250,1991,99,1991-04-09
725250,1993,120,1993-04-30
725250,1995,117,1995-04-27
725260,1962,119,1962-04-29
725260,1964,120,1964-04-29
725260,1969,123,1969-05-03
725260,1971,139,1971-05-19
725260,1972,138,1972-05-17
725260,1973,112,1973-04-22
725260,1974,118,1974-04-28
725260,1979,128,1979-05-08
725260,1981,107,1981-04-17
725260,1982,125,1982-05-05
725260,1983,127,1983-05-07
725260,1984,122,1984-05-01
725260,1987,116,1987-04-26
725260,1990,113,1990-04-23
725260,1992,123,1992-05-02
725260,1993,123,1993-05-03
725260,1994,116,1994-04-26
725260,1995,129,1995-05-09
725280,1962,122,1962-05-02
725280,1965,130,1965-05-10
725280,1966,138,1966-05-18
725280,1971,137,1971-05-17
725280,1974,122,1974-05-02
725280,1975,134,1975-05-14
725280,1979,122,1979-05-02
725280,1980,132,1980-05-11
725280,1981,108,1981-04-18
725280,1982,126,1982-05-06
725280,1983,128,1983-05-08
725280,1984,126,1984-05-05
725280,1988,127,1988-05-06
725280,1989,138,1989-05-18
725280,1990,117,1990-04-27
725280,1991,117,1991-04-27
725280,1992,131,1992-05-10
725280,1993,123,1993-05-03
725280,1994,119,1994-04-29
725280,1995,130,1995-05-10
725290,1962,121,1962-05-01
725290,1964,123,1964-05-02
725290,1965,130,1965-05-10
725290,1966,137,1966-05-17
725290,1967,122,1967-05-02
725290,1968,110,1968-04-19
725290,1970,120,1970-04-30
725290,1971,138,1971-05-18
725290,1972,134,1972-05-13
725290,1973,111,1973-04-21
725290,1979,127,1979-05-07
725290,1980,125,1980-05-04
725290,1981,101,1981-04-11
725290,1983,131,1983-05-11
725290,1985,113,1985-04-23
725290,1986,115,1986-04-25
725290,1987,111,1987-04-21
725290,1988,127,1988-05-06
725290,1989,137,1989-05-17
725290,1990,115,1990-04-25
725290,1991,117,1991-04-27
725290,1992,131,1992-05-10
725290,1993,123,1993-05-03
725290,1994,119,1994-04-29
725290,1995,129,1995-05-09
725300,1964,118,1964-04-27
725300,1967,107,1967-04-17
725300,1969,112,1969-04-22
725300,1973,112,1973-04-22
725300,1974,112,1974-04-22
725300,1975,126,1975-05-06
725300,1976,96,1976-04-05
725300,1977,100,1977-04-10
725300,1978,129,1978-05-09
725300,1979,115,1979-04-25
725300,1980,125,1980-05-04
725300,1981,100,1981-04-10
725300,1982,122,1982-05-02
725300,1984,131,1984-05-10
725300,1985,110,1985-04-20
725300,1986,101,1986-04-11
725300,1987,110,1987-04-20
725300,1989,117,1989-04-27
725300,1991,98,1991-04-08
725300,1992,122,1992-05-01
725300,1993,123,1993-05-03
725300,1994,110,1994-04-20
725300,1995,124,1995-05-04
725300,1999,115,1999-04-25
725300,2002,108,2002-04-18
725300,2003,110,2003-04-20
725300,2004,109,2004-04-18
725320,1963,98,1963-04-08
725320,1968,101,1968-04-10
725320,1970,117,1970-04-27
725320,1973,110,1973-04-20
725320,1974,102,1974-04-12
725320,1975,119,1975-04-29
725320,1979,114,1979-04-24
725320,1980,118,1980-04-27
725320,1981,98,1981-04-08
725320,1982,115,1982-04-25
725320,1983,116,1983-04-26
725320,1984,121,1984-04-30
725320,1986,94,1986-04-04
725320,1987,105,1987-04-15
725320,1988,103,1988-04-12
725320,1990,109,1990-04-19
725320,1991,97,1991-04-07
725320,1992,106,1992-04-15
725320,1993,117,1993-04-27
725320,1994,107,1994-04-17
725320,1995,98,1995-04-08
725330,1961,120,1961-04-30
725330,1962,117,1962-04-27
725330,1963,106,1963-04-16
725330,1965,122,1965-05-02
725330,1969,111,1969-04-21
725330,1970,120,1970-04-30
725330,1971,116,1971-04-26
725330,1975,126,1975-05-06
725330,1977,101,1977-04-11
725330,1978,123,1978-05-03
725330,1979,113,1979-04-23
725330,1980,126,1980-05-05
725330,1983,115,1983-04-25
725330,1985,106,1985-04-16
725330,1986,98,1986-04-08
725330,1987,110,1987-04-20
725330,1988,107,1988-04-16
725330,1989,115,1989-04-25
725330,1990,111,1990-04-21
725330,1991,99,1991-04-09
725330,1992,115,1992-04-24
725330,1993,120,1993-04-30
725330,1995,111,1995-04-21
725330,1997,119,1997-04-29
725350,1961,129,1961-05-09
725350,1962,119,1962-04-29
725350,1968,181,1968-06-29
725350,1970,120,1970-04-30
725350,1973,108,1973-04-18
725350,1974,111,1974-04-21
725350,1975,126,1975-05-06
725350,1980,122,1980-05-01
725350,1981,98,1981-04-08
725350,1982,121,1982-05-01
725350,1983,117,1983-04-27
725350,1984,125,1984-05-04
725350,1985,109,1985-04-19
725350,1988,117,1988-04-26
725350,1990,113,1990-04-23
725350,1991,98,1991-04-08
725350,1992,122,1992-05-01
725350,1994,112,1994-04-22
725350,1995,117,1995-04-27
725360,1961,129,1961-05-09
725360,1965,123,1965-05-03
725360,1966,120,1966-04-30
725360,1968,104,1968-04-13
725360,1969,116,1969-04-26
725360,1971,123,1971-05-03
725360,1972,122,1972-05-01
725360,1973,111,1973-04-21
725360,1974,117,1974-04-27
725360,1975,128,1975-05-08
725360,1979,116,1979-04-26
725360,1980,125,1980-05-04
725360,1981,104,1981-04-14
725360,1982,122,1982-05-02
725360,1983,122,1983-05-02
725360,1984,128,1984-05-07
725360,1985,109,1985-04-19
725360,1986,107,1986-04-17
725360,1987,110,1987-04-20
725360,1988,114,1988-04-23
725360,1989,120,1989-04-30
725360,1990,111,1990-04-21
725360,1991,99,1991-04-09
725360,1994,114,1994-04-24
725370,1961,132,1961-05-12
725370,1962,120,1962-04-30
725370,1963,117,1963-04-27
725370,1964,122,1964-05-01
725370,1965,127,1965-05-07
725370,1966,135,1966-05-15
725370,1968,106,1968-04-15
725370,1974,118,1974-04-28
725370,1975,131,1975-05-11
725370,1979,127,1979-05-07
725370,1980,126,1980-05-05
725370,1981,107,1981-04-17
725370,1982,123,1982-05-03
725370,1983,127,1983-05-07
725370,1984,127,1984-05-06
725370,1986,114,1986-04-24
725370,1987,110,1987-04-20
725370,1991,105,1991-04-15
725370,1992,126,1992-05-05
725370,1994,115,1994-04-25
725370,1995,125,1995-05-05
725390,1961,133,1961-05-13
725390,1962,120,1962-04-30
725390,1963,111,1963-04-21
725390,1964,118,1964-04-27
725390,1965,127,1965-05-07
725390,1967,111,1967-04-21
725390,1968,109,1968-04-18
725390,1971,128,1971-05-08
725390,1972,133,1972-05-12
725390,1974,118,1974-04-28
725390,1975,131,1975-05-11
725390,1980,126,1980-05-05
725390,1983,128,1983-05-08
725390,1987,110,1987-04-20
725390,1988,123,1988-05-02
725390,1991,115,1991-04-25
725390,1992,131,1992-05-10
725390,1993,125,1993-05-05
725390,1994,116,1994-04-26
725390,1995,133,1995-05-13
725390,2001,118,2001-04-28
725390,2002,109,2002-04-19
725390,2003,116,2003-04-26
725390,2004,113,2004-04-22
725390,2005,109,2005-04-19
725430,1962,120,1962-04-30
725430,1963,106,1963-04-16
725430,1966,136,1966-05-16
725430,1969,121,1969-05-01
725430,1971,116,1971-04-26
725430,1974,117,1974-04-27
725430,1975,128,1975-05-08
725430,1979,127,1979-05-07
725430,1981,101,1981-04-11
725430,1982,122,1982-05-02
725430,1983,120,1983-04-30
725430,1984,132,1984-05-11
725430,1985,109,1985-04-19
725430,1986,101,1986-04-11
725430,1987,110,1987-04-20
725430,1988,121,1988-04-30
725430,1989,117,1989-04-27
725430,1990,114,1990-04-24
725430,1991,106,1991-04-16
725430,1992,122,1992-05-01
725430,1993,123,1993-05-03
725430,1994,114,1994-04-24
725430,1995,126,1995-05-06
725440,1961,126,1961-05-06
725440,1962,117,1962-04-27
725440,1963,98,1963-04-08
725440,1964,113,1964-04-22
725440,1966,116,1966-04-26
725440,1972,119,1972-04-28
725440,1973,111,1973-04-21
725440,1974,110,1974-04-20
725440,1980,116,1980-04-25
725440,1981,98,1981-04-08
725440,1982,119,1982-04-29
725440,1984,123,1984-05-02
725440,1985,108,1985-04-18
725440,1988,105,1988-04-14
725440,1989,113,1989-04-23
725440,1991,97,1991-04-07
725440,1992,107,1992-04-16
725440,1993,118,1993-04-28
725440,1994,108,1994-04-18
725440,1995,107,1995-04-17
725440,1997,116,1997-04-26
725440,1998,102,1998-04-12
725460,1961,127,1961-05-07
725460,1962,117,1962-04-27
725460,1963,98,1963-04-08
725460,1964,119,1964-04-28
725460,1965,121,1965-05-01
725460,1966,115,1966-04-25
725460,1967,99,1967-04-09
725460,1969,112,1969-04-22
725460,1971,108,1971-04-18
725460,1972,115,1972-04-24
725460,1974,109,1974-04-19
725460,1975,122,1975-05-02
725460,1976,101,1976-04-10
725460,1980,113,1980-04-22
725460,1981,93,1981-04-03
725460,1982,115,1982-04-25
725460,1983,118,1983-04-28
725460,1985,108,1985-04-18
725460,1986,95,1986-04-05
725460,1987,103,1987-04-13
725460,1989,110,1989-04-20
725460,1990,111,1990-04-21
725460,1991,95,1991-04-05
725460,1992,107,1992-04-16
725460,1993,121,1993-05-01
725460,1994,108,1994-04-18
725470,1992,123,1992-05-02
725470,1993,125,1993-05-05
725470,1994,116,1994-04-26
725470,2003,113,2003-04-23
725480,1961,131,1961-05-11
725480,1963,106,1963-04-16
725480,1964,123,1964-05-02
725480,1966,125,1966-05-05
725480,1968,106,1968-04-15
725480,1969,122,1969-05-02
725480,1970,120,1970-04-30
725480,1973,120,1973-04-30
725480,1975,128,1975-05-08
725480,1976,106,1976-04-15
725480,1977,105,1977-04-15
725480,1978,127,1978-05-07
725480,1980,116,1980-04-25
725480,1981,102,1981-04-12
725480,1982,122,1982-05-02
725480,1983,126,1983-05-06
725480,1985,109,1985-04-19
725480,1986,106,1986-04-16
725480,1987,109,1987-04-19
725480,1988,120,1988-04-29
725480,1989,116,1989-04-26
725480,1990,114,1990-04-24
725480,1992,122,1992-05-01
725480,1995,124,1995-05-04
725510,1991,87,1991-03-28
725510,1992,96,1992-04-05
725510,1994,100,1994-04-10
725560,1979,122,1979-05-02
725560,1980,113,1980-04-22
725560,1982,114,1982-04-24
725560,1983,126,1983-05-06
725560,1985,106,1985-04-16
725560,1986,98,1986-04-08
725560,1988,103,1988-04-12
725560,1989,110,1989-04-20
725560,1992,101,1992-04-10
725560,1993,124,1993-05-04
725560,1994,108,1994-04-18
725570,1961,124,1961-05-04
725570,1962,116,1962-04-26
725570,1963,97,1963-04-07
725570,1966,115,1966-04-25
725570,1967,104,1967-04-14
725570,1969,116,1969-04-26
725570,1971,108,1971-04-18
725570,1973,112,1973-04-22
725570,1974,109,1974-04-19
725570,1979,125,1979-05-05
725570,1980,113,1980-04-22
725570,1984,133,1984-05-12
725570,1985,107,1985-04-17
725570,1986,101,1986-04-11
725570,1987,107,1987-04-17
725570,1988,104,1988-04-13
725570,1989,111,1989-04-21
725570,1991,97,1991-04-07
725570,1992,119,1992-04-28
725570,1993,125,1993-05-05
725570,1994,109,1994-04-19
725570,1995,120,1995-04-30
725620,1962,110,1962-04-20
725620,1963,96,1963-04-06
725620,1964,119,1964-04-28
725620,1965,112,1965-04-22
725620,1967,96,1967-04-06
725620,1968,103,1968-04-12
725620,1970,118,1970-04-28
725620,1971,109,1971-04-19
725620,1972,99,1972-04-08
725620,1973,118,1973-04-28
725620,1974,108,1974-04-18
725620,1975,117,1975-04-27
725620,1979,113,1979-04-23
725620,1983,122,1983-05-02
725620,1987,108,1987-04-18
725620,1988,103,1988-04-12
725620,1989,106,1989-04-16
725620,1990,112,1990-04-22
725620,1991,93,1991-04-03
725620,1992,98,1992-04-07
725620,1993,119,1993-04-29
725620,1995,92,1995-04-02
725620,1997,108,1997-04-18
725620,1998,114,1998-04-24
725620,1999,103,1999-04-13
725620,2001,118,2001-04-28
725640,1961,131,1961-05-11
725640,1962,116,1962-04-26
725640,1963,123,1963-05-03
725640,1964,137,1964-05-16
725640,1967,119,1967-04-29
725640,1969,121,1969-05-01
725640,1970,137,1970-05-17
725640,1971,141,1971-05-21
725640,1972,108,1972-04-17
725640,1973,140,1973-05-20
725640,1974,122,1974-05-02
725640,1975,136,1975-05-16
725640,1977,120,1977-04-30
725640,1979,120,1979-04-30
725640,1980,141,1980-05-20
725640,1982,122,1982-05-02
725640,1983,147,1983-05-27
725640,1984,140,1984-05-19
725640,1986,113,1986-04-23
725640,1987,115,1987-04-25
725640,1988,122,1988-05-01
725640,1991,130,1991-05-10
725640,1992,118,1992-04-27
725640,1993,133,1993-05-13
725640,1995,127,1995-05-07
725640,1997,127,1997-05-07
725640,1998,133,1998-05-13
725640,1999,129,1999-05-09
725640,2001,129,2001-05-09
725660,1963,101,1963-04-11
725660,1964,123,1964-05-02
725660,1965,112,1965-04-22
725660,1967,95,1967-04-05
725660,1968,114,1968-04-23
725660,1970,127,1970-05-07
725660,1971,108,1971-04-18
725660,1972,97,1972-04-06
725660,1973,127,1973-05-07
725660,1974,110,1974-04-20
725660,1975,121,1975-05-01
725660,1976,101,1976-04-10
725660,1980,113,1980-04-22
725660,1982,103,1982-04-13
725660,1983,116,1983-04-26
725660,1986,96,1986-04-06
725660,1987,112,1987-04-22
725660,1988,104,1988-04-13
725660,1991,95,1991-04-05
725660,1993,119,1993-04-29
725660,1995,95,1995-04-05
725670,1992,107,1992-04-16
725670,1993,120,1993-04-30
725670,1994,108,1994-04-18
726170,1961,135,1961-05-15
726170,1962,135,1962-05-15
726170,1964,127,1964-05-06
726170,1966,143,1966-05-23
726170,1968,130,1968-05-09
726170,1972,142,1972-05-21
726170,1976,111,1976-04-20
726170,1977,112,1977-04-22
726170,1978,138,1978-05-18
726170,1979,127,1979-05-07
726170,1980,128,1980-05-07
726170,1981,108,1981-04-18
726170,1982,125,1982-05-05
726170,1984,138,1984-05-17
726170,1985,130,1985-05-10
726170,1988,131,1988-05-10
726170,1989,133,1989-05-13
726170,1991,120,1991-04-30
726170,1992,132,1992-05-11
726170,1993,124,1993-05-04
726170,1994,130,1994-05-10
726170,1995,134,1995-05-14
726350,1964,120,1964-04-29
726350,1966,136,1966-05-16
726350,1967,120,1967-04-30
726350,1968,108,1968-04-17
726350,1970,121,1970-05-01
726350,1971,128,1971-05-08
726350,1972,133,1972-05-12
726350,1973,113,1973-04-23
726350,1974,119,1974-04-29
726350,1979,122,1979-05-02
726350,1980,125,1980-05-04
726350,1983,127,1983-05-07
726350,1985,112,1985-04-22
726350,1986,115,1986-04-25
726350,1987,110,1987-04-20
726350,1989,129,1989-05-09
726350,1991,115,1991-04-25
726350,1992,130,1992-05-09
726350,1993,126,1993-05-06
726350,1994,116,1994-04-26
726350,1995,130,1995-05-10
726350,1997,131,1997-05-11
726350,1998,111,1998-04-21
726350,2000,111,2000-04-20
726350,2002,110,2002-04-20
726350,2003,118,2003-04-28
726350,2004,110,2004-04-19
726350,2005,109,2005-04-19
726360,1961,135,1961-05-15
726360,1962,126,1962-05-06
726360,1963,120,1963-04-30
726360,1964,124,1964-05-03
726360,1965,127,1965-05-07
726360,1967,128,1967-05-08
726360,1968,111,1968-04-20
726360,1969,124,1969-05-04
726360,1970,128,1970-05-08
726360,1972,136,1972-05-15
726360,1974,137,1974-05-17
726360,1975,134,1975-05-14
726360,1979,129,1979-05-09
726360,1980,135,1980-05-14
726360,1982,127,1982-05-07
726360,1986,116,1986-04-26
726360,1990,117,1990-04-27
726360,1991,118,1991-04-28
726360,1992,132,1992-05-11
726360,1993,128,1993-05-08
726360,1994,132,1994-05-12
726360,1995,134,1995-05-14
726360,1997,144,1997-05-24
726360,1998,115,1998-04-25
726360,1999,121,1999-05-01
726360,2001,120,2001-04-30
726360,2002,125,2002-05-05
726360,2003,124,2003-05-04
726360,2005,109,2005-04-19
726370,1961,133,1961-05-13
726370,1962,120,1962-04-30
726370,1964,120,1964-04-29
726370,1967,120,1967-04-30
726370,1968,111,1968-04-20
726370,1969,123,1969-05-03
726370,1970,121,1970-05-01
726370,1972,133,1972-05-12
726370,1973,114,1973-04-24
726370,1974,119,1974-04-29
726370,1975,131,1975-05-11
726370,1979,122,1979-05-02
726370,1980,127,1980-05-06
726370,1981,112,1981-04-22
726370,1983,127,1983-05-07
726370,1984,133,1984-05-12
726370,1986,115,1986-04-25
726370,1987,110,1987-04-20
726370,1988,124,1988-05-03
726370,1990,115,1990-04-25
726370,1991,116,1991-04-26
726370,1992,130,1992-05-09
726370,1993,124,1993-05-04
726370,1995,131,1995-05-11
726380,1965,132,1965-05-12
726380,1966,144,1966-05-24
726380,1969,135,1969-05-15
726380,1971,138,1971-05-18
726380,1973,129,1973-05-09
726380,1974,139,1974-05-19
726380,1975,137,1975-05-17
726380,1990,118,1990-04-28
726380,1991,129,1991-05-09
726380,1992,133,1992-05-12
726380,1994,133,1994-05-13
726380,1995,136,1995-05-16
726380,2002,127,2002-05-07
726380,2003,130,2003-05-10
726390,1966,147,1966-05-27
726390,1972,142,1972-05-21
726390,1973,136,1973-05-16
726390,1974,142,1974-05-22
726390,1976,122,1976-05-01
726390,1977,126,1977-05-06
726390,1979,138,1979-05-18
726390,1980,142,1980-05-21
726390,1981,128,1981-05-08
726390,1982,132,1982-05-12
726390,1983,153,1983-06-02
726390,1984,142,1984-05-21
726390,1986,124,1986-05-04
726390,1987,128,1987-05-08
726390,1989,140,1989-05-20
726390,1991,131,1991-05-11
726390,1992,138,1992-05-17
726390,1993,134,1993-05-14
726390,1995,142,1995-05-22
726400,1961,140,1961-05-20
726400,1963,118,1963-04-28
726400,1965,130,1965-05-10
726400,1967,137,1967-05-17
726400,1968,108,1968-04-17
726400,1969,126,1969-05-06
726400,1970,127,1970-05-07
726400,1971,138,1971-05-18
726400,1972,141,1972-05-20
726400,1973,140,1973-05-20
726400,1974,134,1974-05-14
726400,1975,140,1975-05-20
726400,1976,108,1976-04-17
726400,1978,140,1978-05-20
726400,1979,130,1979-05-10
726400,1980,126,1980-05-05
726400,1981,124,1981-05-04
726400,1982,126,1982-05-06
726400,1983,142,1983-05-22
726400,1986,116,1986-04-26
726400,1987,127,1987-05-07
726400,1989,139,1989-05-19
726400,1990,115,1990-04-25
726400,1991,118,1991-04-28
726400,1992,132,1992-05-11
726400,1994,123,1994-05-03
726400,1995,133,1995-05-13
726400,1999,125,1999-05-05
726410,1961,132,1961-05-12
726410,1962,123,1962-05-03
726410,1963,111,1963-04-21
726410,1964,123,1964-05-02
726410,1965,127,1965-05-07
726410,1968,111,1968-04-20
726410,1970,120,1970-04-30
726410,1971,125,1971-05-05
726410,1972,134,1972-05-13
726410,1973,121,1973-05-01
726410,1974,119,1974-04-29
726410,1975,131,1975-05-11
726410,1976,107,1976-04-16
726410,1977,105,1977-04-15
726410,1978,131,1978-05-11
726410,1979,128,1979-05-08
726410,1982,124,1982-05-04
726410,1984,134,1984-05-13
726410,1987,110,1987-04-20
726410,1988,123,1988-05-02
726410,1989,127,1989-05-07
726410,1992,128,1992-05-07
726410,1993,125,1993-05-05
726410,1995,127,1995-05-07
726430,1961,132,1961-05-12
726430,1962,122,1962-05-02
726430,1966,127,1966-05-07
726440,1961,140,1961-05-20
726440,1963,121,1963-05-01
726440,1966,141,1966-05-21
726440,1969,125,1969-05-05
726440,1973,130,1973-05-10
726440,1974,123,1974-05-03
726440,1975,137,1975-05-17
726440,1979,135,1979-05-15
726440,1981,120,1981-04-30
726440,1984,140,1984-05-19
726440,1985,112,1985-04-22
